,zone1,zone2,zone3,zone4,zone5,zone6
0,3,3,4,4,4,4
1,4,4,4,4,3,4
2,4,4,5,4,4,4
3,3,4,3,4,3,3
4,3,4,4,4,3,2
5,4,4,4,4,4,3
6,4,4,4,4,4,4
7,6,4,4,4,5,4
8,5,4,4,4,4,4
9,4,4,5,4,4,4
10,2,4,4,4,4,3
11,4,4,4,4,4,4
12,4,4,4,4,4,4
13,4,4,4,4,5,5
14,2,4,4,4,4,3
15,5,5,5,4,5,4
16,6,4,5,4,5,4
17,2,4,2,5,2,2
18,4,4,4,4,5,4
19,4,4,4,4,2,3
20,4,4,4,4,4,4
21,4,6,3,4,4,4
22,4,4,4,4,4,5
23,4,4,5,4,4,4
24,3,5,4,4,4,4
25,5,4,4,4,4,4
26,4,4,4,4,4,4
27,4,3,4,4,4,4
28,4,4,4,4,4,4
29,4,4,3,4,4,4
30,4,4,4,4,4,5
31,4,3,4,4,4,4
32,5,4,4,4,5,4
33,4,4,3,4,5,4
34,4,4,4,4,4,3
35,4,6,4,4,4,4
36,4,4,4,4,4,4
37,3,4,5,4,5,4
38,2,4,4,4,4,4
39,4,4,4,4,4,4
40,4,4,4,4,3,3
41,4,4,4,4,5,4
42,4,4,4,4,4,4
43,6,4,4,4,5,4
44,5,4,4,4,4,4
45,4,4,4,4,5,5
46,4,4,5,4,5,4
47,3,4,4,4,4,4
48,4,4,4,4,4,4
49,4,4,4,4,4,4
50,3,3,4,4,4,3
51,4,4,3,4,4,3
52,4,5,4,4,4,4
53,4,4,4,4,4,5
54,4,4,4,4,5,4
55,5,4,4,4,5,4
56,4,4,4,4,4,4
57,4,4,4,4,4,5
58,5,4,5,4,5,6
59,4,4,4,4,4,4
60,5,4,4,3,6,6
61,5,4,5,3,4,2
62,4,4,4,4,4,4
63,4,4,5,4,4,4
64,3,3,4,4,3,4
65,4,3,4,4,3,3
66,4,4,4,3,4,4
67,3,4,4,4,4,4
68,3,4,4,4,4,4
69,5,4,4,4,5,5
70,4,5,4,4,4,4
71,3,3,3,4,3,3
72,5,4,4,4,5,4
73,3,3,4,6,3,4
74,6,4,5,4,5,5
75,5,4,4,4,4,4
76,5,4,4,4,4,4
77,4,4,4,4,4,4
78,4,2,4,4,3,4
79,4,5,4,4,4,4
80,4,4,5,4,4,5
81,3,4,4,4,4,4
82,5,4,5,4,5,5
83,4,4,4,5,3,4
84,3,4,4,4,3,4
85,3,4,4,4,4,3
86,2,4,3,5,3,3
87,5,4,5,5,5,4
88,4,4,4,4,4,4
89,4,4,4,5,5,4
90,3,4,5,4,4,4
91,4,4,4,4,4,4
92,4,4,4,5,4,4
93,6,4,4,3,5,6
94,4,4,4,5,4,4
95,4,4,5,4,4,4
96,4,4,4,4,4,5
97,4,4,5,5,4,4
98,3,4,3,4,4,4
99,3,4,5,4,3,4
100,4,4,4,4,4,3
101,2,3,2,4,3,3
102,5,4,3,4,4,4
103,4,3,4,4,3,4
104,4,4,4,4,4,5
105,5,4,4,3,4,5
106,4,4,6,5,4,5
107,4,5,4,4,4,3
108,4,3,4,4,3,4
109,6,3,5,4,4,4
