,Cluster Number
0,2
1,6
2,4
3,5
4,1
5,1
6,3
7,8
8,8
9,4
10,2
11,3
12,3
13,3
14,2
15,0
16,0
17,5
18,3
19,6
20,3
21,7
22,3
23,4
24,7
25,8
26,3
27,3
28,3
29,3
30,3
31,3
32,8
33,3
34,1
35,7
36,3
37,4
38,2
39,3
40,1
41,3
42,3
43,8
44,8
45,3
46,4
47,2
48,3
49,3
50,2
51,1
52,7
53,3
54,3
55,8
56,3
57,3
58,0
59,3
60,0
61,1
62,3
63,4
64,6
65,6
66,3
67,2
68,2
69,0
70,7
71,5
72,8
73,6
74,0
75,8
76,8
77,3
78,6
79,7
80,4
81,2
82,0
83,6
84,6
85,2
86,5
87,0
88,3
89,3
90,4
91,3
92,3
93,0
94,3
95,4
96,3
97,4
98,2
99,4
100,1
101,5
102,8
103,6
104,3
105,8
106,4
107,1
108,6
109,8
110,0
111,4
112,0
113,6
114,1
115,3
116,6
117,3
118,0
119,4
120,3
121,8
