,Rainfall Yearly Mean
0,6.199511458234083
1,6.694595981271065
2,7.3204269175197965
3,6.30600033081534
4,6.1023330052341835
5,7.34969221299866
6,6.753860057178935
7,7.723085595478371
8,7.523581927116244
9,7.7153217571950075
10,6.306385315929675
11,6.943591054047461
12,6.603966956872422
13,7.741717086494947
14,6.528203421261528
15,8.179481925438234
16,8.677902482120679
17,5.554443190649594
18,7.556014150921513
19,6.248759104309651
20,7.50640285112322
21,7.471146553903582
22,7.096471955168283
23,7.591149856344486
24,6.916185815381962
25,7.80158075794031
26,7.414591326135852
27,6.648586918905122
28,6.794533407961512
29,6.882789825447068
30,7.620492616986309
31,6.897095641485214
32,8.262787005761902
33,7.76430110274814
34,7.253831523172
35,7.741181771875537
36,7.1696142283106905
37,7.728976494859809
38,6.7057132052031045
39,7.153772503558255
40,6.3132085243098945
41,8.113617038837184
42,7.473903786778166
43,7.868695598410461
44,7.6950848749267955
45,7.780416770384875
46,7.761084057675985
47,7.404547565808735
48,7.560303001693237
49,7.541825983207166
50,6.066942435224711
51,6.790897749115083
52,7.837990862331089
53,7.535603061554357
54,7.911677746799062
55,8.132591830037974
56,6.783014699826942
57,7.7036188845158735
58,8.08939507020998
59,7.175357907573741
60,8.541652606010517
61,7.076617188454901
62,7.033165907707177
63,7.834190828538557
64,5.945980675091587
65,6.280381969720511
66,7.25906438440583
67,6.431221712587705
68,7.109117895958879
69,7.997233211932724
70,7.507429439188103
71,5.619327111737272
72,7.779006584982465
73,6.626064956499857
74,8.583679535961275
75,7.495085117347492
76,7.474907665720967
77,7.8264862618377675
78,6.060756268826817
79,7.7014648369192
80,7.4558184835766514
81,6.491268670788616
82,8.270109607095277
83,7.398477418652492
84,6.772156811060927
85,6.524066698274932
86,6.194360583319025
87,8.361767557974694
88,7.336477183514767
89,7.9906115216361915
90,7.108262504517411
91,6.94580520293486
92,7.292719859679858
93,8.098714887185071
94,7.198360882147939
95,7.128840132220734
96,7.157984355919032
97,7.423066555106324
98,6.91122488375438
99,6.598784266420929
100,6.868695904364303
101,5.767330296397673
102,7.59189686946893
103,6.44849815412472
104,7.4452748376490305
105,7.545826439410611
106,8.119470497126933
107,7.512631030162833
108,6.053930723205305
109,7.646587305859262
110,7.977860601950808
111,7.153210771029747
112,7.929927581054114
113,6.491229804744349
114,6.380179286541388
115,7.2769744470853786
116,7.082776982631768
117,6.729509054708147
118,8.281106055635282
119,8.294389849464295
120,7.5288303854278675
121,7.929150377730823
