,Cluster Number
0,1
1,3
2,6
3,2
4,2
5,6
6,1
7,5
8,4
9,8
10,2
11,6
12,2
13,7
14,6
15,8
16,8
17,0
18,4
19,2
20,4
21,4
22,7
23,8
24,4
25,5
26,5
27,1
28,2
29,4
30,7
31,1
32,7
33,4
34,6
35,4
36,4
37,8
38,2
39,6
40,1
41,8
42,4
43,5
44,5
45,7
46,8
47,4
48,8
49,5
50,1
51,2
52,4
53,5
54,4
55,8
56,6
57,7
58,7
59,4
60,7
61,6
62,6
63,8
64,1
65,0
66,6
67,2
68,4
69,5
70,3
71,1
72,5
73,0
74,8
75,5
76,5
77,8
78,1
79,4
80,8
81,2
82,8
83,3
84,2
85,2
86,0
87,8
88,3
89,5
90,3
91,1
92,3
93,7
94,8
95,3
96,6
97,3
98,3
99,2
100,6
101,4
102,0
103,4
104,1
105,7
106,7
107,4
108,1
109,5
