,Cluster Number
0,3
1,3
2,3
3,7
4,3
5,3
6,0
7,7
8,7
9,7
10,7
11,3
12,7
13,3
14,1
15,0
16,7
17,7
18,1
19,5
20,0
21,3
22,3
23,3
24,0
25,5
26,0
27,3
28,7
29,3
30,1
31,3
32,0
33,0
34,0
35,3
36,4
37,0
38,3
39,1
40,6
41,1
42,0
43,5
44,4
45,1
46,5
47,3
48,0
49,0
50,3
51,4
52,1
53,4
54,0
55,0
56,1
57,1
58,1
59,1
60,4
61,5
62,5
63,1
64,3
65,1
66,5
67,0
68,6
69,6
70,0
71,5
72,2
73,0
74,0
75,0
76,1
77,1
78,6
79,6
80,1
81,6
82,6
83,4
84,4
85,5
86,6
87,2
88,4
89,2
90,2
91,6
92,6
93,6
94,2
95,2
96,6
97,2
98,4
99,4
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,4
108,2
109,2
