,Zone 3 Yearly Mean
0,3.7483421017865663
1,4.136877483638974
2,5.550535247734531
3,3.350377631732089
4,3.6013141324665705
5,4.951057575328233
6,4.226266233734811
7,3.943153959619999
8,4.6753048642695925
9,5.2230988646904954
10,3.6277592940000236
11,4.4502279149560655
12,3.602875617717622
13,4.639870861315336
14,4.816785367666404
15,5.3343155452017905
16,5.178039374226625
17,2.7088822774876333
18,4.484069455086209
19,3.5455642856245153
20,4.266803855078924
21,3.3601928416691837
22,3.990833940038231
23,5.416867831021058
24,3.855316602646034
25,4.144163989000438
26,4.628969919314541
27,3.7445997157447652
28,3.9632579154709324
29,3.455260740782785
30,4.286358282292964
31,3.7365780746500024
32,4.68374181178007
33,3.3842352622364387
34,4.145643399167355
35,4.146004140593673
36,3.5338774773461896
37,5.070487806258827
38,3.7712507947116602
39,4.173863430685879
40,4.047423772472925
41,4.099310159124604
42,3.8922118932587204
43,4.173486609495859
44,3.84282921835233
45,4.398365611173482
46,5.12756337215275
47,4.069781369614699
48,4.981158852502166
49,4.223620828537374
50,4.214699383221983
51,2.82348443058993
52,4.572156408088324
53,4.39401469835297
54,4.374046638970297
55,4.755384515926388
56,4.177089478014141
57,4.511127267101357
58,5.110926874642196
59,4.386773008939966
60,4.950277666142045
61,5.55808773842024
62,3.9089108904703718
63,5.37909660239034
64,3.8166208784368196
65,4.437279557394004
66,3.896311372987071
67,3.792918368621928
68,3.707436627974275
69,4.221747858736945
70,4.003584518281651
71,3.4696381656580284
72,4.150684269825064
73,4.249787448583373
74,5.409145454358077
75,3.675843092486018
76,3.8279220405838523
77,4.733485915624899
78,4.174192755979789
79,4.067067469124717
80,5.2881986705494715
81,3.5524555575147025
82,5.471279879598051
83,4.147820166595842
84,3.927766251812704
85,3.868614516800642
86,3.292978057476243
87,5.470007220767756
88,5.009988557390599
89,3.6083367794935817
90,5.034386884788412
91,4.420068758711561
92,3.705089612254256
93,3.6122104331985843
94,4.302977185537288
95,5.27087301261298
96,4.090802477811497
97,5.164823162606603
98,3.415610814231634
99,5.103102780369755
100,3.6110891246266053
101,2.4220114962983326
102,3.30883866760037
103,3.93899195302246
104,4.662583276205473
105,4.214219410589973
106,5.997323229400056
107,4.6865680700938235
108,4.230442536223716
109,5.469607410136695
110,5.4900477503725735
111,5.316545227354863
112,4.680189918864849
113,4.173289245932513
114,4.203487737879207
115,4.003126737053082
116,4.990882863299671
117,4.4344138520627725
118,5.073952121782889
119,5.867598297981161
120,4.929833602739944
121,5.527713937481896
