,Cluster Number
0,6
1,3
2,6
3,5
4,1
5,8
6,6
7,2
8,6
9,6
10,1
11,6
12,6
13,0
14,1
15,0
16,2
17,5
18,0
19,3
20,6
21,7
22,4
23,6
24,7
25,6
26,6
27,6
28,6
29,6
30,4
31,6
32,0
33,0
34,8
35,7
36,6
37,0
38,1
39,6
40,3
41,0
42,6
43,2
44,6
45,0
46,0
47,6
48,6
49,6
50,1
51,8
52,7
53,4
54,0
55,0
56,6
57,4
58,2
59,6
60,2
61,8
62,6
63,6
64,3
65,3
66,6
67,6
68,6
69,2
70,7
71,5
72,0
73,3
74,2
75,6
76,6
77,6
78,3
79,7
80,4
81,6
82,2
83,3
84,3
85,1
86,5
87,0
88,6
89,0
90,6
91,6
92,6
93,2
94,6
95,6
96,4
97,6
98,6
99,3
100,8
101,5
102,6
103,3
104,4
105,4
106,4
107,7
108,3
109,2
