,Cluster Number
0,4
1,7
2,7
3,0
4,7
5,4
6,3
7,0
8,0
9,0
10,0
11,7
12,4
13,7
14,5
15,3
16,0
17,0
18,5
19,6
20,3
21,4
22,4
23,4
24,3
25,6
26,3
27,4
28,4
29,4
30,5
31,4
32,3
33,3
34,3
35,4
36,2
37,3
38,4
39,5
40,1
41,5
42,3
43,6
44,2
45,5
46,6
47,4
48,3
49,3
50,4
51,5
52,5
53,4
54,3
55,3
56,5
57,5
58,6
59,5
60,6
61,6
62,6
63,6
64,4
65,5
66,6
67,3
68,1
69,1
70,6
71,6
72,1
73,6
74,3
75,4
76,6
77,5
78,5
79,1
80,5
81,1
82,1
83,2
84,2
85,6
86,1
87,1
88,2
89,1
90,1
91,1
92,1
93,1
94,1
95,6
96,1
97,1
98,2
99,2
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,2
108,1
109,1
