,Cluster Number
0,1
1,4
2,4
3,1
4,4
5,4
6,1
7,1
8,1
9,1
10,1
11,4
12,1
13,4
14,0
15,1
16,1
17,1
18,4
19,5
20,1
21,4
22,4
23,4
24,1
25,5
26,1
27,4
28,1
29,4
30,0
31,4
32,1
33,1
34,1
35,4
36,3
37,1
38,1
39,5
40,2
41,0
42,1
43,5
44,3
45,0
46,5
47,4
48,1
49,1
50,4
51,0
52,0
53,1
54,1
55,1
56,5
57,0
58,5
59,0
60,3
61,3
62,5
63,3
64,4
65,0
66,1
67,1
68,2
69,2
70,1
71,5
72,2
73,1
74,1
75,1
76,5
77,0
78,2
79,2
80,0
81,2
82,2
83,3
84,3
85,3
86,2
87,2
88,3
89,2
90,2
91,0
92,0
93,2
94,2
95,3
96,0
97,2
98,3
99,2
100,2
101,2
102,2
103,2
104,2
105,2
106,2
107,3
108,2
109,2
