,Cluster Number
0,6
1,4
2,4
3,6
4,4
5,4
6,8
7,6
8,6
9,6
10,6
11,4
12,6
13,4
14,3
15,8
16,8
17,6
18,3
19,3
20,8
21,6
22,6
23,1
24,6
25,3
26,8
27,4
28,6
29,4
30,3
31,4
32,1
33,8
34,8
35,3
36,3
37,1
38,4
39,3
40,0
41,2
42,1
43,0
44,5
45,2
46,3
47,1
48,8
49,8
50,1
51,3
52,0
53,1
54,8
55,1
56,3
57,3
58,3
59,3
60,3
61,1
62,1
63,3
64,4
65,3
66,1
67,1
68,7
69,2
70,1
71,3
72,2
73,1
74,1
75,1
76,3
77,2
78,2
79,2
80,2
81,0
82,0
83,5
84,5
85,3
86,0
87,7
88,5
89,7
90,7
91,0
92,0
93,0
94,7
95,5
96,7
97,7
98,5
99,5
100,7
101,7
102,7
103,7
104,7
105,7
106,7
107,5
108,7
109,7
