,region1,region2,region3,region4,region5,region6,region7,region8,region9,region10,region11,region12,region13,region14,region15
0,3,1,3,3,4,4,3,4,4,1,2,2,1,2,4
1,2,1,1,5,6,5,2,2,3,2,1,2,2,1,3
2,1,2,1,3,5,6,1,3,2,4,1,2,1,1,3
3,1,1,1,2,2,2,2,4,2,1,1,1,1,2,1
4,1,2,1,7,6,5,2,2,2,1,1,1,1,1,1
5,1,4,2,3,4,4,3,3,3,5,2,2,2,1,3
6,2,1,1,2,2,2,5,6,4,1,2,1,2,2,2
7,1,1,1,2,2,3,2,2,2,3,1,1,1,3,1
8,2,2,1,2,2,2,2,2,2,3,1,1,1,2,2
9,4,1,1,1,1,1,2,4,2,2,1,1,1,4,2
10,1,1,1,2,2,2,2,2,2,2,1,1,2,4,1
11,4,5,2,6,6,5,1,4,3,4,2,2,4,2,2
12,4,2,2,3,4,2,2,3,3,2,2,1,2,2,1
13,2,2,2,6,6,6,2,4,2,5,2,2,2,2,2
14,3,5,4,6,6,7,4,3,3,7,4,3,2,3,5
15,4,2,2,2,2,2,5,3,2,2,2,2,6,5,2
16,4,1,1,2,2,1,2,4,4,1,1,1,5,3,2
17,1,1,1,3,2,2,2,6,4,1,1,1,4,2,2
18,1,4,4,4,4,3,2,4,3,5,4,4,2,4,4
19,4,4,4,4,4,4,4,5,4,2,4,5,3,2,2
20,5,3,2,1,1,2,4,5,4,2,2,2,3,1,2
21,2,2,2,3,3,4,2,4,3,5,2,2,2,3,2
22,2,2,2,4,4,4,3,4,4,2,2,2,1,2,1
23,6,4,2,4,4,4,3,3,4,4,2,2,2,7,4
24,3,1,2,3,2,2,4,5,3,2,1,2,2,2,2
25,6,5,5,6,6,5,2,2,6,2,4,5,1,1,4
26,2,2,2,2,2,2,5,4,4,4,1,2,2,3,4
27,2,2,2,4,4,4,3,2,4,4,2,2,2,3,2
28,3,4,2,3,3,3,2,2,4,1,2,2,1,3,2
29,1,2,2,4,5,5,4,4,4,2,2,2,2,2,2
30,3,7,4,6,6,4,6,3,4,6,5,4,5,1,5
31,1,1,2,6,4,4,4,2,4,1,2,2,4,2,6
32,4,3,2,3,2,2,4,4,4,2,2,2,2,4,5
33,5,1,1,2,2,2,6,4,6,1,1,1,3,1,2
34,4,2,3,3,2,3,4,3,4,2,2,3,3,3,3
35,2,4,4,4,4,4,4,2,5,2,3,4,4,2,6
36,5,5,3,4,3,3,4,4,4,6,4,4,4,2,5
37,2,4,2,2,2,2,6,4,4,3,2,2,6,6,5
38,3,3,2,4,4,3,4,3,4,2,2,2,4,1,2
39,4,2,4,6,6,6,5,2,5,4,4,3,2,2,6
40,4,5,7,7,7,6,4,2,5,7,7,7,6,4,6
41,3,3,6,4,5,6,4,3,5,6,6,5,7,5,6
42,2,1,2,2,2,2,5,4,4,1,2,3,4,6,3
43,7,1,5,6,5,4,6,5,5,2,4,6,7,6,6
44,6,6,5,3,2,2,6,3,6,6,5,4,6,5,7
45,2,3,6,4,3,4,4,2,4,7,5,6,2,6,4
46,4,2,6,4,4,5,2,4,5,1,4,6,6,4,2
47,2,2,3,4,4,2,3,4,4,2,2,4,4,4,4
