,Cluster Number
0,6
1,6
2,6
3,2
4,6
5,6
6,2
7,2
8,2
9,2
10,2
11,6
12,6
13,6
14,5
15,2
16,2
17,2
18,0
19,4
20,2
21,6
22,6
23,6
24,2
25,4
26,2
27,6
28,6
29,6
30,5
31,6
32,2
33,2
34,2
35,6
36,4
37,2
38,6
39,0
40,7
41,0
42,2
43,4
44,3
45,0
46,4
47,6
48,1
49,2
50,1
51,0
52,5
53,0
54,2
55,2
56,0
57,5
58,4
59,5
60,4
61,4
62,4
63,4
64,6
65,5
66,4
67,1
68,7
69,7
70,4
71,0
72,3
73,4
74,2
75,2
76,4
77,0
78,7
79,7
80,0
81,7
82,7
83,4
84,4
85,4
86,7
87,3
88,4
89,7
90,7
91,7
92,7
93,7
94,3
95,4
96,7
97,7
98,3
99,3
100,3
101,7
102,7
103,7
104,7
105,3
106,3
107,4
108,3
109,7
