,region1,region2,region3,region4,region5,region6,region7,region8,region9,region10,region11,region12,Cluster Number
87,7,7,6,3,4,4,5,4,4,7,7,6,6
89,5,6,6,5,5,6,4,6,5,6,7,7,6
90,6,7,7,5,6,6,4,6,5,5,7,7,6
93,6,3,6,4,6,6,5,5,5,6,6,6,6
94,7,6,6,4,6,6,7,5,4,5,6,6,6
100,6,7,7,5,4,4,5,4,4,7,7,7,6
101,6,6,6,6,6,6,6,6,4,7,7,6,6
102,6,7,7,4,5,6,5,4,5,7,7,7,6
103,5,6,6,5,5,6,6,6,5,6,6,6,6
104,6,7,7,5,6,6,6,5,6,5,7,7,6
105,6,7,6,4,4,4,6,4,4,6,7,6,6
106,6,4,7,4,4,6,6,5,4,6,7,7,6
108,7,7,7,4,4,4,6,6,4,6,7,7,6
109,7,7,7,6,6,6,4,6,4,7,7,7,6
111,4,7,6,5,4,4,7,5,4,7,6,5,6
112,6,7,7,4,4,4,6,4,5,7,7,7,6
113,6,7,7,5,5,6,6,5,6,7,7,7,6
114,7,7,7,6,6,7,7,6,7,6,7,7,6
115,6,7,7,6,7,7,7,5,6,7,7,7,6
116,7,7,7,6,6,6,7,6,5,4,7,7,6
117,6,7,7,4,4,6,7,7,6,7,7,7,6
118,7,7,7,6,6,6,7,6,6,6,7,7,6
119,7,7,7,6,6,6,7,6,6,7,7,7,6
120,6,7,6,3,3,4,7,6,6,6,7,6,6
