,Cluster Number
0,2
1,2
2,2
3,2
4,2
5,2
6,2
7,2
8,2
9,2
10,2
11,0
12,2
13,0
14,0
15,2
16,2
17,2
18,0
19,1
20,2
21,2
22,2
23,1
24,2
25,0
26,2
27,2
28,2
29,2
30,0
31,2
32,2
33,2
34,2
35,1
36,1
37,2
38,2
39,0
40,3
41,0
42,2
43,1
44,1
45,0
46,1
47,2
48,2
49,2
50,2
51,0
52,0
53,1
54,2
55,2
56,0
57,0
58,1
59,0
60,1
61,1
62,1
63,1
64,2
65,0
66,1
67,2
68,3
69,3
70,1
71,0
72,3
73,1
74,2
75,2
76,1
77,0
78,3
79,3
80,3
81,3
82,3
83,1
84,1
85,1
86,3
87,3
88,1
89,3
90,3
91,3
92,3
93,3
94,3
95,1
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
105,3
106,3
107,1
108,3
109,3
