,region1,region2,region3,region4,region5,region6,region7,region8,region9,region10,region11,region12
0,3,1,3,3,4,4,3,4,4,1,2,2
1,2,1,1,5,6,5,2,2,3,2,1,2
2,1,2,1,3,5,6,1,3,2,4,1,2
3,1,1,1,2,2,2,2,4,2,1,1,1
4,1,2,1,7,6,5,2,2,2,1,1,1
5,1,4,2,3,4,4,3,3,3,5,2,2
6,2,1,1,2,2,2,5,6,4,1,2,1
7,1,1,1,2,2,3,2,2,2,3,1,1
8,2,2,1,2,2,2,2,2,2,3,1,1
9,4,1,1,1,1,1,2,4,2,2,1,1
10,1,1,1,2,2,2,2,2,2,2,1,1
11,4,5,2,6,6,5,1,4,3,4,2,2
12,4,2,2,3,4,2,2,3,3,2,2,1
13,2,2,2,6,6,6,2,4,2,5,2,2
14,3,5,4,6,6,7,4,3,3,7,4,3
15,4,2,2,2,2,2,5,3,2,2,2,2
16,4,1,1,2,2,1,2,4,4,1,1,1
17,1,1,1,3,2,2,2,6,4,1,1,1
18,1,4,4,4,4,3,2,4,3,5,4,4
19,4,4,4,4,4,4,4,5,4,2,4,5
20,5,3,2,1,1,2,4,5,4,2,2,2
21,2,2,2,3,3,4,2,4,3,5,2,2
22,2,2,2,4,4,4,3,4,4,2,2,2
23,6,4,2,4,4,4,3,3,4,4,2,2
24,3,1,2,3,2,2,4,5,3,2,1,2
25,6,5,5,6,6,5,2,2,6,2,4,5
26,2,2,2,2,2,2,5,4,4,4,1,2
27,2,2,2,4,4,4,3,2,4,4,2,2
28,3,4,2,3,3,3,2,2,4,1,2,2
29,1,2,2,4,5,5,4,4,4,2,2,2
30,3,7,4,6,6,4,6,3,4,6,5,4
31,1,1,2,6,4,4,4,2,4,1,2,2
32,4,3,2,3,2,2,4,4,4,2,2,2
33,5,1,1,2,2,2,6,4,6,1,1,1
34,4,2,3,3,2,3,4,3,4,2,2,3
35,2,4,4,4,4,4,4,2,5,2,3,4
36,5,5,3,4,3,3,4,4,4,6,4,4
37,2,4,2,2,2,2,6,4,4,3,2,2
38,3,3,2,4,4,3,4,3,4,2,2,2
39,4,2,4,6,6,6,5,2,5,4,4,3
40,4,5,7,7,7,6,4,2,5,7,7,7
41,3,3,6,4,5,6,4,3,5,6,6,5
42,2,1,2,2,2,2,5,4,4,1,2,3
43,7,1,5,6,5,4,6,5,5,2,4,6
44,6,6,5,3,2,2,6,3,6,6,5,4
45,2,3,6,4,3,4,4,2,4,7,5,6
46,4,2,6,4,4,5,2,4,5,1,4,6
47,2,2,3,4,4,2,3,4,4,2,2,4
48,4,3,2,3,3,3,6,4,5,2,2,2
49,5,2,2,2,1,1,4,5,4,5,2,2
50,2,2,2,4,4,5,7,4,4,2,2,3
