,region1,region2,region3,region4,region5,region6,region7,region8,region9,region10,region11,region12
0,4,2,4,4,4,4,4,4,4,2,3,4
1,2,2,2,5,5,5,3,3,4,3,2,2
2,2,4,2,4,5,5,2,4,2,4,2,2
3,2,2,2,3,2,2,2,4,2,2,2,2
4,2,3,2,6,6,5,3,2,3,2,2,2
5,2,4,3,4,4,4,4,4,3,4,3,3
6,3,2,2,3,3,3,4,5,4,2,2,2
7,2,2,2,2,3,4,3,3,2,4,2,2
8,3,3,2,2,2,3,2,3,2,4,2,2
9,4,2,2,2,2,2,3,4,2,3,2,2
10,2,2,2,2,2,3,3,3,2,3,2,2
11,4,4,3,5,6,5,2,4,4,4,4,3
12,4,3,3,4,4,3,3,4,3,3,3,2
13,3,3,4,5,5,5,3,4,3,4,3,3
14,4,4,4,5,6,6,4,4,3,6,4,4
15,4,3,4,2,2,3,4,3,2,2,3,3
16,4,2,2,3,2,1,2,4,4,2,2,2
17,2,2,2,4,3,2,3,5,4,2,2,2
18,2,4,4,4,4,3,3,4,3,4,4,4
19,4,4,4,4,4,4,4,4,4,3,4,4
20,4,4,3,2,2,2,4,4,4,3,3,3
21,2,3,2,3,3,4,3,4,4,4,2,3
22,3,3,4,4,4,4,4,4,4,3,3,3
23,5,4,3,4,4,4,4,4,4,4,4,3
24,4,2,3,3,3,2,4,4,3,3,2,3
25,5,4,4,6,6,5,3,3,5,4,4,4
26,3,3,3,3,3,2,4,4,4,4,2,3
27,3,4,3,4,4,4,4,3,4,4,3,2
28,3,4,3,4,3,4,3,3,4,2,3,3
29,2,3,4,4,4,4,4,4,4,3,3,3
30,4,6,4,6,5,4,5,4,4,5,4,4
31,2,2,4,5,4,4,4,3,4,2,3,3
32,4,4,3,4,2,3,4,4,4,3,3,3
33,4,2,2,3,2,2,5,4,5,2,2,2
34,4,4,4,3,3,3,4,4,4,3,3,4
35,2,4,4,4,4,4,4,3,5,3,4,4
36,4,4,4,4,4,3,4,4,4,5,4,4
37,3,4,4,2,2,3,5,4,4,4,4,3
38,4,4,3,4,4,3,4,4,4,2,3,3
39,4,3,4,6,6,5,4,3,5,4,4,4
40,4,4,6,6,6,6,4,3,5,6,6,6
41,4,4,5,4,5,5,4,4,4,4,5,4
42,3,2,3,3,2,3,4,4,4,2,3,4
43,6,2,4,5,5,4,6,4,4,3,4,4
44,5,4,4,4,3,2,5,4,6,4,4,4
45,2,4,5,4,4,4,4,2,4,6,4,4
46,4,3,4,4,4,4,3,4,4,2,4,5
47,2,3,4,4,4,3,4,4,4,4,4,4
48,4,4,3,4,4,3,5,4,4,2,3,3
49,4,3,3,2,2,2,4,5,4,4,3,3
50,2,4,3,4,4,4,6,4,4,3,3,4
51,4,4,4,4,4,4,5,4,4,5,4,4
52,4,4,4,5,5,4,5,3,4,5,4,4
53,2,4,4,2,3,4,4,4,4,4,4,4
54,3,3,2,2,2,2,4,4,4,4,2,2
55,3,3,3,4,3,3,4,6,4,4,3,3
56,4,4,4,6,6,4,3,4,5,4,4,4
57,2,6,4,5,6,6,4,4,5,4,4,4
58,5,4,4,4,5,4,3,4,5,4,4,4
59,4,4,4,4,4,4,4,4,4,5,4,4
60,6,4,4,4,4,4,4,4,4,4,4,4
61,4,4,4,3,4,4,4,5,5,4,4,4
62,6,3,4,4,4,4,4,5,5,2,4,4
63,4,5,5,2,3,4,3,4,4,4,4,5
64,4,4,3,5,4,4,4,3,4,3,3,3
65,4,5,4,4,6,6,3,4,4,6,4,4
66,4,4,4,3,3,4,4,4,4,3,4,4
67,4,4,4,2,3,4,4,5,4,2,3,4
68,5,6,5,6,6,6,2,4,3,5,6,6
69,4,6,6,4,4,5,3,4,4,5,6,6
70,4,3,4,2,2,2,3,4,3,3,4,4
71,4,3,4,5,5,5,3,5,4,4,4,4
72,6,6,6,4,4,4,3,4,4,5,5,6
73,5,4,4,3,2,2,3,4,4,3,4,4
74,4,4,3,3,2,3,4,4,4,4,3,3
75,3,4,3,4,3,3,4,4,4,3,4,3
76,4,4,4,4,4,4,4,3,4,3,4,4
77,3,4,4,3,4,4,3,4,4,5,4,5
78,4,5,5,5,4,5,3,4,5,6,5,5
79,4,6,5,4,5,6,4,4,4,5,5,5
80,4,4,5,4,4,4,4,4,4,6,5,5
81,5,5,5,5,5,6,4,5,4,4,5,6
82,4,5,6,7,6,5,4,4,4,4,6,6
83,6,4,4,4,4,3,4,4,4,5,4,4
84,5,5,4,3,3,3,3,4,4,4,4,4
85,5,5,4,4,4,4,4,4,4,4,4,5
86,5,6,6,6,6,6,4,4,4,6,6,6
87,6,6,6,3,4,4,4,4,4,6,6,5
88,5,4,4,3,2,3,5,4,4,4,4,4
89,4,5,6,4,5,5,4,5,5,5,6,6
90,5,6,6,5,5,6,4,6,5,4,6,6
91,4,5,5,6,6,6,5,4,5,6,5,5
92,4,4,5,6,6,5,4,4,4,4,5,4
93,5,4,5,4,5,5,4,4,5,5,5,5
94,6,5,5,4,5,6,6,4,4,4,5,6
95,6,5,4,4,4,4,4,4,5,4,5,4
96,4,4,5,5,5,6,4,5,5,5,5,5
97,6,6,7,7,6,5,5,5,4,6,7,7
98,6,6,5,3,2,2,6,4,3,6,5,5
99,5,4,5,4,3,2,6,4,4,6,5,5
100,6,6,6,4,4,4,4,4,4,6,6,6
101,5,5,5,5,5,6,5,5,4,6,6,5
102,6,6,6,4,4,6,4,4,4,6,6,6
103,4,4,5,4,5,5,5,5,5,5,5,4
104,5,6,6,5,6,6,6,4,6,4,6,6
105,6,6,5,4,4,4,6,4,4,5,6,5
106,5,4,6,4,4,5,5,4,4,5,6,6
107,6,4,4,4,3,2,6,5,4,3,4,4
108,6,6,6,4,4,4,6,6,4,6,6,6
109,6,7,6,5,6,6,4,5,4,6,7,6
